x,y,v
0,0,0.9432
1,0,0.0176
2,0,0.0035
3,0,0.0026
4,0,0.0083
5,0,0.0031
6,0,0.0005
7,0,0.0006
8,0,0.0001
9,0,0.0204

0,1,0.3566
1,1,0.3236
2,1,0.0146
3,1,0.0219
4,1,0.0527
5,1,0.0161
6,1,0.0021
7,1,0.0224
8,1,0.0233
9,1,0.1667

0,2,0.0060
1,2,0.7571
2,2,0.0371
3,2,0.0199
4,2,0.0680
5,2,0.0156
6,2,0.0005
7,2,0.0200
8,2,0.0169
9,2,0.0589

0,3,0.0041
1,3,0.0624
2,3,0.8162
3,3,0.0450
4,3,0.0063
5,3,0.0007
6,3,0.0006
7,3,0.0018
8,3,0.0034
9,3,0.0595

0,4,0.0206
1,4,0.0792
2,4,0.1509
3,4,0.1302
4,4,0.1701
5,4,0.0253
6,4,0.0108
7,4,0.0198
8,4,0.0266
9,4,0.3666

0,5,0.0038
1,5,0.0790
2,5,0.0772
3,5,0.1484
4,5,0.1729
5,5,0.0075
6,5,0.0127
7,5,0.0034
8,5,0.0178
9,5,0.4773

0,6,0.0014
1,6,0.0051
2,6,0.0331
3,6,0.0227
4,6,0.1786
5,6,0.0142
6,6,0.0029
7,6,0.0096
8,6,0.0061
9,6,0.7263

0,7,0.0084
1,7,0.0225
2,7,0.0123
3,7,0.0597
4,7,0.4751
5,7,0.2215
6,7,0.0196
7,7,0.0090
8,7,0.0410
9,7,0.1310

0,8,0.0009
1,8,0.0008
2,8,0.0055
3,8,0.0432
4,8,0.0228
5,8,0.0705
6,8,0.4589
7,8,0.2773
8,8,0.0114
9,8,0.1086

0,9,0.0336
1,9,0.0316
2,9,0.0032
3,9,0.0723
4,9,0.0437
5,9,0.0095
6,9,0.4511
7,9,0.0223
8,9,0.1574
9,9,0.1753

0,10,0.0003
1,10,0.0866
2,10,0.0106
3,10,0.0068
4,10,0.0062
5,10,0.0031
6,10,0.7295
7,10,0.0059
8,10,0.0151
9,10,0.1358

0,11,0.0155
1,11,0.2183
2,11,0.0183
3,11,0.0454
4,11,0.0154
5,11,0.0040
6,11,0.0556
7,11,0.0084
8,11,0.2917
9,11,0.3275

0,12,0.0715
1,12,0.1281
2,12,0.0329
3,12,0.0163
4,12,0.0126
5,12,0.0075
6,12,0.0046
7,12,0.0032
8,12,0.1357
9,12,0.5875

0,13,0.0600
1,13,0.1122
2,13,0.0732
3,13,0.0197
4,13,0.0081
5,13,0.0082
6,13,0.0133
7,13,0.0033
8,13,0.1046
9,13,0.5974

0,14,0.0718
1,14,0.0610
2,14,0.0328
3,14,0.0405
4,14,0.0152
5,14,0.0046
6,14,0.0072
7,14,0.0089
8,14,0.1336
9,14,0.6245
